Type,Name,E_day,E_month,H_day,H_month
ESA,GrasslandESA17a,1,9,1,7
ESA,GrasslandESA17b,1,9,1,7
ESA,GrasslandESA18a,1,11,1,5
ESA,GrasslandESA18b,1,11,1,5
ESA,GrasslandESA19a,1,9,1,7
ESA,GrasslandESA19b,1,9,1,7
ESA,GrasslandESA2,1,4,1,11
ESA,GrasslandESA20a,1,2,15,12
ESA,GrasslandESA20b,1,2,15,12
ESA,GrasslandESA21,1,2,15,12
ESA,GrasslandESA3,1,4,28,8
ESA,GrasslandESA4,1,4,1,11
ESA,GrasslandESA5,1,6,30,8
ESA,GrasslandESA6,1,4,28,8
ESA,GrasslandESA7,1,6,30,8
ESA,GrasslandESA8,1,9,1,8
ESA,GrasslandESA9,1,6,30,8
ESA,GrasslandsaESA1,1,6,30,8
ESA,GrasslandsaESA10a,1,6,30,8
ESA,GrasslandsaESA10b,1,6,30,8
ESA,GrasslandsaESA11a,1,9,1,8
ESA,GrasslandsaESA11b,1,9,1,8
ESA,GrasslandsaESA12a,1,9,1,8
ESA,GrasslandsaESA12b,1,9,1,8
ESA,GrasslandsaESA13,1,9,1,8
ESA,GrasslandsaESA14,1,9,1,8
ESA,GrasslandsaESA15a,1,9,1,8
ESA,GrasslandsaESA15b,1,9,1,8
ESA,GrasslandsaESA16a,1,9,1,8
ESA,GrasslandsaESA16b,1,9,1,8
ESA,GrasslandsaESA17a,1,9,1,7
ESA,GrasslandsaESA17b,1,9,1,7
ESA,GrasslandsaESA18a,1,11,1,5
ESA,GrasslandsaESA18b,1,11,1,5
ESA,GrasslandsaESA19a,1,9,1,7
ESA,GrasslandsaESA19b,1,9,1,7
ESA,GrasslandsaESA2,1,4,1,11
ESA,GrasslandsaESA20a,1,2,15,12
ESA,GrasslandsaESA20b,1,2,15,12
ESA,GrasslandsaESA21,1,2,15,12
ESA,GrasslandsaESA3,1,4,28,8
ESA,GrasslandsaESA4,1,4,1,11
ESA,GrasslandsaESA5,1,6,30,8
ESA,GrasslandsaESA6,1,4,28,8
ESA,GrasslandsaESA7,1,6,30,8
ESA,GrasslandsaESA8,1,9,1,8
ESA,GrasslandsaESA9,1,6,30,8
ESA,ImperviousESA1,1,1,31,12
ESA,ImperviousESA10a,1,1,31,12
ESA,ImperviousESA10b,1,1,31,12
ESA,ImperviousESA11a,1,1,31,12
ESA,ImperviousESA11b,1,1,31,12
ESA,ImperviousESA12a,1,1,31,12
ESA,ImperviousESA12b,1,1,31,12
ESA,ImperviousESA13,1,1,31,12
ESA,ImperviousESA14,1,1,31,12
ESA,ImperviousESA15a,1,1,31,12
ESA,ImperviousESA15b,1,1,31,12
ESA,ImperviousESA16a,1,1,31,12
ESA,ImperviousESA16b,1,1,31,12
ESA,ImperviousESA17a,1,1,31,12
ESA,ImperviousESA17b,1,1,31,12
ESA,ImperviousESA18a,1,1,31,12
ESA,ImperviousESA18b,1,1,31,12
ESA,ImperviousESA19a,1,1,31,12
ESA,ImperviousESA19b,1,1,31,12
ESA,ImperviousESA2,1,1,31,12
ESA,ImperviousESA20a,1,1,31,12
ESA,ImperviousESA20b,1,1,31,12
ESA,ImperviousESA21,1,1,31,12
ESA,ImperviousESA3,1,1,31,12
ESA,ImperviousESA4,1,1,31,12
ESA,ImperviousESA5,1,1,31,12
ESA,ImperviousESA6,1,1,31,12
ESA,ImperviousESA7,1,1,31,12
ESA,ImperviousESA8,1,1,31,12
ESA,ImperviousESA9,1,1,31,12
ESA,ImpervioussaESA1,1,1,31,12
ESA,ImpervioussaESA10a,1,1,31,12
ESA,ImpervioussaESA10b,1,1,31,12
ESA,ImpervioussaESA11a,1,1,31,12
ESA,ImpervioussaESA11b,1,1,31,12
ESA,ImpervioussaESA12a,1,1,31,12
ESA,ImpervioussaESA12b,1,1,31,12
ESA,ImpervioussaESA13,1,1,31,12
ESA,ImpervioussaESA14,1,1,31,12
ESA,ImpervioussaESA15a,1,1,31,12
ESA,ImpervioussaESA15b,1,1,31,12
ESA,ImpervioussaESA16a,1,1,31,12
ESA,ImpervioussaESA16b,1,1,31,12
ESA,ImpervioussaESA17a,1,1,31,12
ESA,ImpervioussaESA17b,1,1,31,12
ESA,ImpervioussaESA18a,1,1,31,12
ESA,ImpervioussaESA18b,1,1,31,12
ESA,ImpervioussaESA19a,1,1,31,12
ESA,ImpervioussaESA19b,1,1,31,12
ESA,ImpervioussaESA2,1,1,31,12
ESA,ImpervioussaESA20a,1,1,31,12
ESA,ImpervioussaESA20b,1,1,31,12
ESA,ImpervioussaESA21,1,1,31,12
ESA,ImpervioussaESA3,1,1,31,12
ESA,ImpervioussaESA4,1,1,31,12
ESA,ImpervioussaESA5,1,1,31,12
ESA,ImpervioussaESA6,1,1,31,12
ESA,ImpervioussaESA7,1,1,31,12
ESA,ImpervioussaESA8,1,1,31,12
ESA,ImpervioussaESA9,1,1,31,12
ESA,NSLandcoverESA1,1,1,31,12
ESA,NSLandcoverESA10a,16,3,22,10
ESA,NSLandcoverESA10b,16,3,22,10
ESA,NSLandcoverESA11a,16,3,22,10
ESA,NSLandcoverESA11b,16,3,22,10
ESA,NSLandcoverESA12a,1,1,31,12
ESA,NSLandcoverESA12b,1,1,31,12
ESA,NSLandcoverESA13,1,1,31,12
ESA,NSLandcoverESA14,16,3,22,10
ESA,NSLandcoverESA15a,1,1,31,12
ESA,NSLandcoverESA15b,1,1,31,12
ESA,NSLandcoverESA16a,1,3,1,11
ESA,NSLandcoverESA16b,1,3,1,11
ESA,NSLandcoverESA17a,1,1,31,12
ESA,NSLandcoverESA17b,1,1,31,12
ESA,NSLandcoverESA18a,1,3,1,11
ESA,NSLandcoverESA18b,1,3,1,11
ESA,NSLandcoverESA19a,1,1,31,12
ESA,NSLandcoverESA19b,1,1,31,12
ESA,NSLandcoverESA2,1,1,31,12
ESA,NSLandcoverESA20a,1,1,31,12
ESA,NSLandcoverESA20b,1,1,31,12
ESA,NSLandcoverESA21,1,1,31,12
ESA,NSLandcoverESA3,1,1,31,12
ESA,NSLandcoverESA4,1,1,31,12
ESA,NSLandcoverESA5,1,1,31,12
ESA,NSLandcoverESA6,16,3,22,10
ESA,NSLandcoverESA7,16,3,22,10
ESA,NSLandcoverESA8,1,1,31,12
ESA,NSLandcoverESA9,1,1,31,12
ESA,NSLandcoversaESA1,1,1,31,12
ESA,NSLandcoversaESA10a,16,3,22,10
ESA,NSLandcoversaESA10b,16,3,22,10
ESA,NSLandcoversaESA11a,16,3,22,10
ESA,NSLandcoversaESA11b,16,3,22,10
ESA,NSLandcoversaESA12a,1,1,31,12
ESA,NSLandcoversaESA12b,1,1,31,12
ESA,NSLandcoversaESA13,1,1,31,12
ESA,NSLandcoversaESA14,16,3,22,10
ESA,NSLandcoversaESA15a,1,1,31,12
ESA,NSLandcoversaESA15b,1,1,31,12
ESA,NSLandcoversaESA16a,1,3,1,11
ESA,NSLandcoversaESA16b,1,3,1,11
ESA,NSLandcoversaESA17a,1,1,31,12
ESA,NSLandcoversaESA17b,1,1,31,12
ESA,NSLandcoversaESA18a,1,3,1,11
ESA,NSLandcoversaESA18b,1,3,1,11
ESA,NSLandcoversaESA19a,1,1,31,12
ESA,NSLandcoversaESA19b,1,1,31,12
ESA,NSLandcoversaESA2,1,1,31,12
ESA,NSLandcoversaESA20a,1,1,31,12
ESA,NSLandcoversaESA20b,1,1,31,12
ESA,NSLandcoversaESA21,1,1,31,12
ESA,NSLandcoversaESA3,1,1,31,12
ESA,NSLandcoversaESA4,1,1,31,12
ESA,NSLandcoversaESA5,1,1,31,12
ESA,NSLandcoversaESA6,16,3,22,10
ESA,NSLandcoversaESA7,16,3,22,10
ESA,NSLandcoversaESA8,1,1,31,12
ESA,NSLandcoversaESA9,1,1,31,12
ESA,OrchardESA1,16,4,15,10
ESA,OrchardESA10a,1,3,10,11
ESA,OrchardESA10b,1,3,10,11
ESA,OrchardESA11a,1,4,16,11
ESA,OrchardESA11b,1,4,16,11
ESA,OrchardESA12a,1,4,16,11
ESA,OrchardESA12b,1,4,16,11
ESA,OrchardESA13,1,4,16,11
ESA,OrchardESA14,1,4,16,11
ESA,OrchardESA15a,16,1,13,9
ESA,OrchardESA15b,16,1,13,9
ESA,OrchardESA16a,16,1,13,9
